pathogen,platform,has_prototype,ptrs
chikungunya,mrna_only,1,0.46300385443416686
chikungunya,traditional_only,1,0.614544969392507
coronavirus,mrna_only,1,0.53044882452394
coronavirus,traditional_only,1,0.6712686024378635
crimean_congo_hemorrhagic_fever,mrna_only,1,0.32987219491384073
crimean_congo_hemorrhagic_fever,mrna_only,0,0.22006574448311592
crimean_congo_hemorrhagic_fever,traditional_only,1,0.46325761140906613
crimean_congo_hemorrhagic_fever,traditional_only,0,0.3521255068459195
ebola,mrna_only,1,0.4366944867478214
ebola,traditional_only,1,0.5884569715163144
flu,mrna_only,1,0.5234104229322717
flu,traditional_only,1,0.663496799804256
lassa,mrna_only,1,0.5207682798644732
lassa,mrna_only,0,0.4109618294337483
lassa,traditional_only,1,0.6753334071988095
lassa,traditional_only,0,0.5642013026356629
nipah,mrna_only,1,0.33046785378321125
nipah,traditional_only,1,0.4811283394821645
rift_valley_fever,mrna_only,1,0.44133133148759435
rift_valley_fever,mrna_only,0,0.33152488105686956
rift_valley_fever,traditional_only,1,0.5930426996351692
rift_valley_fever,traditional_only,0,0.48191059507202255
zika,mrna_only,1,0.2999181701104051
zika,traditional_only,1,0.44437175385298455
