pathogen,platform,has_prototype,ptrs
chikungunya,mrna_only,1,0.5299935756405273
chikungunya,traditional_only,1,0.6842712647646383
coronavirus,mrna_only,1,0.6101712114643618
coronavirus,traditional_only,1,0.7554131069026297
crimean_congo_hemorrhagic_fever,mrna_only,1,0.3913255248496914
crimean_congo_hemorrhagic_fever,mrna_only,0,0.24321437674962584
crimean_congo_hemorrhagic_fever,traditional_only,1,0.542220465360129
crimean_congo_hemorrhagic_fever,traditional_only,0,0.39458267699942495
ebola,mrna_only,1,0.4959408833556566
ebola,traditional_only,1,0.6685114417638962
flu,mrna_only,1,0.6166570445211128
flu,traditional_only,1,0.7733109717082357
lassa,mrna_only,1,0.6131241219506389
lassa,mrna_only,0,0.4650129738505734
lassa,traditional_only,1,0.7956746505935041
lassa,traditional_only,0,0.6480368622328
nipah,mrna_only,1,0.3741429111071933
nipah,traditional_only,1,0.5321553714204219
rift_valley_fever,mrna_only,1,0.5228567364343077
rift_valley_fever,mrna_only,0,0.3747455883342422
rift_valley_fever,traditional_only,1,0.6825077495461277
rift_valley_fever,traditional_only,0,0.5348699611854236
zika,mrna_only,1,0.3514235269146777
zika,traditional_only,1,0.5282714885151715
